pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Quién es el padrino de Harry Potter?,Remus Lupin,Sirius Black,Peter Pettigrew,Albus Dumbledore,2
¿Cómo se llama el banco de los magos?,Gringotts,Ollivanders,Flourish and Blotts,Madam Malkin's,1
¿Qué hechizo abre puertas cerradas?,Lumos,Alohomora,Expelliarmus,Reducto,2
¿Cómo se llama la hermana de Ron Weasley?,Hermione,Ginny,Luna,Fleur,2
¿Qué tipo de criatura es Aragog?,Troll,Acromántula,Hippogrifo,Testral,2
¿Qué objeto hace invisible a quien lo porta?,El Giratiempo,La Capa de Invisibilidad,El Guardapelo,La Varita de Saúco,2
¿Cómo se llama el padre de Draco Malfoy?,Severus Malfoy,Lucius Malfoy,Abraxas Malfoy,Scorpius Malfoy,2
¿Cuál es el nombre verdadero de Voldemort?,Tom Riddle,Marvolo Gaunt,Gellert Grindelwald,Salazar Slytherin,1
¿Qué hechizo conjura un Patronus?,Expecto Patronum,Protego,Lumos,Nox,1
¿Qué objeto destruyó Harry en el Bosque Prohibido?,La Capa de Invisibilidad,El Diario de Tom Riddle,La Copa de Helga Hufflepuff,El Anillo de Gaunt,2
¿Cómo se llama el tren a Hogwarts?,Hogwarts Flyer,Hogwarts Express,Hogwarts Chariot,Knight Bus,2
¿Qué criatura custodia la cámara de los secretos?,Dragón,Basilisco,Acromántula,Troll,2
¿Quién enseña Defensa Contra las Artes Oscuras en el sexto libro?,Severus Snape,Remus Lupin,Dolores Umbridge,Gilderoy Lockhart,1
¿Qué habilidad especial tiene Harry para hablar con serpientes?,Animagia,Legilimencia,Parseltongue,Oclumancia,3
¿Qué criatura vuela en el primer juego de Quidditch de Harry?,El Dementor,El Dragón,El Troll,La Snitch Dorada,4
¿Cuál es el Patronus de Luna Lovegood?,Nutria,Liebre,Ciervo,Caballo,2
¿Qué ingrediente es crucial para la Poción Multijugos?,Raíz de asfódelo,Mandrágora,Un pelo de la persona,Polvos Flu,3
¿Quién mató a Dobby?,Bellatrix Lestrange,Lucius Malfoy,Peter Pettigrew,Fenrir Greyback,1
¿Qué posición juega Ginny en el equipo de Quidditch de Gryffindor?,Cazadora,Golpeadora,Buscadora,Guardián,1
¿Qué forma tiene el Patronus de Snape?,Ciervo,Nutria,Gamo,Serpiente,3
